id,material,concentration,process,temperature,time,characterization,result,safety_level,source,is_example
R001,聚N-异丙基丙烯酰胺(PNIPAM)水凝胶,NIPAM单体10wt%，BIS交联剂0.5wt%,自由基聚合，APS引发，TEMED催化，氮气保护,25°C引发聚合,聚合反应24小时,流变仪测G'/G''，DLS测粒径，称重法测溶胀比,制得透明水凝胶，32°C附近发生LCST转变，溶胀比约15:1,low,课程实验讲义,true
R002,SDS胶束溶液,SDS 50mM，NaCl 100mM,磁力搅拌溶解SDS于去离子水中，加入NaCl调节离子强度,25°C,搅拌1小时直至完全溶解,电导率法测CMC，DLS测粒径,形成球形胶束，平均直径约5nm，CMC约1.5mM(含盐),low,课程实验讲义,true
R003,聚乙烯醇(PVA)水凝胶,PVA 10wt%(分子量约89000),PVA溶于去离子水(90°C加热溶解)，冻融循环法交联,-20°C冷冻，25°C解冻,每次冻融循环: 冷冻12小时+解融4小时，共3-5个循环,流变仪测力学性能，称重法测含水率,制得白色不透明水凝胶，3次冻融后G'约10kPa，含水率约85%,low,课程实验讲义,true
R004,CTAB蠕虫状胶束溶液,CTAB 100mM，NaSal 50mM,先溶解CTAB，再加入NaSal，缓慢搅拌避免产生气泡,25°C,搅拌4小时，静置过夜,旋转流变仪测稳态和振荡流变,形成蠕虫状胶束网络，零剪切粘度约50Pa·s，表现出Maxwell流体行为,medium,课程实验讲义,true
R005,壳聚糖/甘油磷酸钠温敏凝胶,壳聚糖 2wt%，β-甘油磷酸钠 5.6wt%,壳聚糖溶于0.1M HCl，冷却后缓慢加入β-甘油磷酸钠溶液,4°C配制，37°C凝胶化,配制后4°C保存，升温至37°C后约30分钟凝胶化,流变仪测温度扫描，倒置法验证凝胶化,室温下为溶液态，37°C下转变为半透明凝胶，G'约500Pa,low,课程实验讲义,true
R006,SiO2纳米粒子Pickering乳液,SiO2纳米粒子 1wt%，正辛烷 30vol%,硅烷化SiO2粒子分散于水中，加入油相，高速乳化(10000rpm),25°C,乳化10分钟,光学显微镜观察液滴，接触角测量，稳定性观察,形成O/W型乳液，液滴平均直径约50μm，室温下稳定>30天,low,课程实验讲义,true
R007,聚苯乙烯微球(乳液聚合),苯乙烯单体 10vol%，SDS 0.5wt%，KPS引发剂 0.3wt%,乳液聚合法: SDS溶于水，加入苯乙烯单体，预乳化后升温引发聚合,70°C聚合,聚合反应8小时,DLS/SEM测粒径，Zeta电位,制得单分散PS微球，平均直径约300nm，PDI<0.05，Zeta电位约-40mV,medium,课程实验讲义,true
R008,聚丙烯酰胺/聚乙烯醇双网络水凝胶,AM单体 2M，BIS 0.5mol%(相对AM)，PVA 5wt%,两步法: 先光引发聚合PAM第一网络，再浸泡PVA溶液后冻融形成第二网络,紫外光引发室温聚合,紫外照射30分钟，冻融循环3次,万能试验机拉伸测试，流变测量,双网络凝胶断裂伸长率>1500%，拉伸强度约1.5MPa,medium,课程实验讲义,true
R009,纤维素纳米晶(CNC)悬浮液,CNC 3wt%水悬浮液,"硫酸水解微晶纤维素(64wt% H2SO4, 45°C)，稀释终止反应，透析纯化",水解45°C,水解反应45分钟，透析3天(换水多次),TEM测粒径，偏光显微镜观察液晶态，Zeta电位,制得棒状CNC(长约200nm，直径约15nm)，分散液呈乳光，高浓度下出现手性向列液晶,high,课程实验讲义,true
R010,聚乳酸(PLA)薄膜,PLA 10wt%(溶于氯仿),溶液浇铸法: PLA溶于氯仿，倒入培养皿中，通风橱内蒸发溶剂,25°C通风橱中蒸发,溶剂蒸发24小时,DSC测Tg和Tm，拉伸测试,制得透明PLA薄膜，Tg约58°C，Tm约170°C，拉伸强度约50MPa,medium,课程实验讲义,true
R011,超分子水凝胶(UPy基),UPy-PEG 10wt%,UPy改性PEG溶于热水，冷却至室温形成物理交联凝胶,80°C溶解，25°C凝胶化,冷却约30分钟凝胶化,流变仪温度扫描，FTIR确认氢键,室温下形成透明凝胶，G'约500Pa，加热至60°C以上变为溶液(可逆),low,课程实验讲义,true
R012,聚多巴胺(PDA)涂层,盐酸多巴胺 2mg/mL，Tris缓冲液 pH 8.5,将基底浸入碱性多巴胺溶液中，多巴胺在基底表面氧化自聚合,25°C,浸泡24小时,椭偏仪测膜厚，接触角，XPS确认表面化学,形成约30nm厚的PDA涂层，水接触角约55°，涂层均匀致密,low,课程实验讲义,true
R013,PLGA微球(乳液溶剂蒸发法),PLGA 200mg(溶于2mL DCM)，PVA 1wt%水溶液,W/O乳液法: PLGA/DCM溶液为油相，PVA水溶液为外水相，高速乳化后蒸发DCM,25°C乳化，室温蒸发溶剂,乳化3分钟，溶剂蒸发4小时,SEM测形貌和粒径，DLS测粒径分布,制得球形PLGA微球，平均直径约10μm，表面有微孔结构,medium,课程实验讲义,true
R014,SiO2反蛋白石光子晶体,SiO2微球(直径250nm)悬浮液 0.5wt%,垂直沉积法: 玻璃基底垂直浸入SiO2悬浮液中，缓慢蒸发组装,55°C烘箱,蒸发组装3-5天,SEM观察有序结构，UV-Vis反射光谱,形成面心立方有序排列的SiO2胶体晶体薄膜，反射峰约550nm(绿色),low,课程实验讲义,true
R015,聚氨酯形状记忆弹性体,MDI/BDO/PTMG摩尔比 3:2:1,预聚体法: MDI与PTMG反应形成预聚体，BDO扩链，浇铸固化,80°C预聚，100°C后固化,预聚2小时，扩链浇铸后固化4小时,DSC测Tg，DMA测形状记忆性能,Tg约55°C，形状固定率>97%，形状恢复率>95%,high,课程实验讲义,true
R016,疏水缔合水凝胶,丙烯酰胺 2M，十六烷基二甲基烯丙基氯化铵 0.5mol%(相对AM),胶束聚合法: 先配制表面活性剂胶束溶液，再加入AM单体和引发剂聚合,50°C聚合,聚合反应12小时,流变仪测粘弹性，拉伸测试,制得透明水凝胶，断裂伸长率约3000%，具有优异的自修复能力(24小时修复效率>90%),medium,课程实验讲义,true
R017,离子液体凝胶电解质,PVDF-HFP 15wt%，离子液体[BMIM][BF4] 60wt%，DMF溶剂 25wt%,溶液浇铸法: PVDF-HFP溶于DMF，加入离子液体，浇铸成膜后真空干燥,60°C真空干燥,干燥24小时,电化学阻抗谱测离子电导率，拉伸测试,制得透明凝胶膜，室温离子电导率约10^-3 S/cm，拉伸强度约5MPa,medium,课程实验讲义,true
R018,海藻酸钙水凝胶微球,海藻酸钠 2wt%，CaCl2 2wt%,注射器将海藻酸钠溶液逐滴滴入CaCl2溶液中，钙离子交联形成微球,25°C,交联30分钟,光学显微镜测尺寸，流变仪测力学,制得球形微球，直径约2mm(可通过针头尺寸控制)，含水率>95%,low,课程实验讲义,true
R019,介电弹性体驱动器(DEA),VHB 4910丙烯酸弹性体薄膜,预拉伸VHB薄膜(3x3倍)，两侧涂抹碳脂柔性电极，叠层组装,25°C,组装约1小时,高压测试驱动应变，激光测距仪测位移,施加4kV电压时面积应变约100%，响应时间约10ms,high,课程实验讲义,true
R020,纳米粘土(Laponite)物理水凝胶,Laponite 3wt%,将Laponite粉末缓慢加入去离子水中，高速搅拌分散,25°C,搅拌2小时，静置过夜,流变仪测屈服应力和触变性,形成透明触变性凝胶，屈服应力约10Pa，可注射，静置后结构恢复,low,课程实验讲义,true
R021,核壳结构纳米粒子(SiO2@PNIPAM),SiO2核(100nm)，NIPAM单体 0.5wt%,在SiO2种子粒子表面进行NIPAM的沉淀聚合,70°C聚合,聚合反应4小时,DLS测温度响应粒径变化，TEM观察核壳结构,25°C时粒径约200nm(PNIPAM壳膨胀)，35°C时约130nm(壳塌缩)，温度响应可逆,medium,课程实验讲义,true
R022,甲基纤维素热可逆凝胶,甲基纤维素(MC) 2wt%,MC在冷水中分散(0°C)，缓慢升温至室温溶解，继续升温形成凝胶,0°C分散，25°C溶解，50-60°C凝胶化,溶解过夜，升温后约30分钟凝胶化,流变仪温度扫描测G'/G''交叉温度,约50°C时G'=G''(凝胶点)，60°C时G'约1kPa。冷至室温后可逆回到溶液态,low,课程实验讲义,true
R023,壳聚糖/明胶复合支架,壳聚糖 2wt%，明胶 5wt%，京尼平交联剂 0.5wt%,壳聚糖和明胶分别溶于醋酸溶液，混合后加入京尼平交联，冷冻干燥,37°C交联，-80°C冷冻后冻干,交联6小时，冷冻干燥48小时,SEM观察孔结构，力学测试，细胞毒性测试,制得多孔支架(孔径100-300μm，孔隙率>85%)，压缩模量约50kPa，细胞存活率>90%,medium,课程实验讲义,true
R024,光固化水凝胶(PEGDA),PEGDA(700Da) 10wt%，光引发剂Irgacure 2959 0.05wt%,PEGDA和光引发剂溶于PBS缓冲液，紫外光照射固化,25°C,365nm紫外光照射5分钟,流变仪测G'，溶胀实验，细胞包封活力测试,固化后G'约2kPa，溶胀比约10:1，包封细胞存活率>80%,medium,课程实验讲义,true
R025,导电水凝胶(PEDOT:PSS/PVA),PEDOT:PSS分散液 1.1wt%，PVA 5wt%,将PEDOT:PSS与PVA溶液混合，浇铸成膜后DMSO后处理提高导电性,25°C浇铸，120°C DMSO蒸汽处理,浇铸干燥12小时，DMSO处理30分钟,四探针法测电导率，拉伸测试,电导率约10 S/cm(DMSO处理后提高约100倍)，拉伸强度约2MPa，断裂伸长率约50%,medium,课程实验讲义,true
R026,磁性纳米粒子(Fe3O4)共沉淀法制备,FeCl3 0.2M，FeCl2 0.1M，NH3·H2O,共沉淀法: 混合Fe3+/Fe2+溶液，在碱性条件下沉淀生成Fe3O4纳米粒子,80°C反应,反应30分钟,XRD确认晶相，TEM测粒径，VSM测磁性能,制得超顺磁Fe3O4纳米粒子，平均直径约12nm，饱和磁化强度约60emu/g,medium,课程实验讲义,true
R027,静电纺丝PVA纳米纤维膜,PVA 8wt%(溶于去离子水),静电纺丝: 注射泵推进PVA溶液，施加15kV高压，接收距离15cm,25°C，相对湿度<50%,纺丝2小时,SEM测纤维直径，BET测比表面积,制得均匀PVA纳米纤维膜，平均纤维直径约200nm，比表面积约15m2/g,medium,课程实验讲义,true
R028,脂质体薄膜水化法制备,卵磷脂 10mg/mL，胆固醇 4mg/mL(氯仿溶液),薄膜水化法: 旋转蒸发去除氯仿形成脂质薄膜，PBS水化，挤出控制粒径,40°C旋转蒸发，水化室温,旋转蒸发30分钟，水化2小时，挤出21次,DLS测粒径，荧光法测包封率,制得单层脂质体，平均直径约120nm，PDI<0.2,low,课程实验讲义,true
R029,氧化石墨烯(GO)液晶,GO 1wt%水分散液,改良Hummers法制备GO: 石墨+KMnO4+浓H2SO4氧化，透析纯化至中性,冰浴(<5°C)氧化反应,氧化反应2小时，透析5天,AFM测片层厚度，偏光显微镜观察液晶态，XRD,制得单层GO(厚约1nm，横向尺寸约1μm)，1wt%分散液呈向列型液晶,high,课程实验讲义,true
R030,温度/pH双响应微凝胶,NIPAM 0.5M，丙烯酸(AA) 0.05M，BIS 5mol%,无皂乳液聚合: NIPAM和AA共聚，BIS交联,70°C聚合,聚合反应4小时,DLS测粒径温度和pH响应，Zeta电位,微凝胶LCST约35°C(比纯PNIPAM略高)，pH>5时因AA去离子化而溶胀。可用于多重响应药物释放。,low,课程实验讲义,true
